date,co2_annual_differences
1958-03-01,
1958-04-01,
1958-05-01,
1958-06-01,
1958-07-01,
1958-08-01,
1958-09-01,
1958-10-01,
1958-11-01,
1958-12-01,
1959-01-01,
1959-02-01,
1959-03-01,0.9399999999999977
1959-04-01,0.27000000000003865
1959-05-01,0.7800000000000296
1959-06-01,0.8799999999999955
1959-07-01,0.6700000000000159
1959-08-01,-0.12999999999999545
1959-09-01,0.6299999999999955
1959-10-01,0.9099999999999682
1959-11-01,1.4800000000000182
1959-12-01,0.9099999999999682
1960-01-01,0.8500000000000227
1960-02-01,0.4900000000000091
1960-03-01,0.9300000000000068
1960-04-01,1.3099999999999454
1960-05-01,1.7399999999999523
1960-06-01,1.4300000000000068
1960-07-01,1.6399999999999864
1960-08-01,1.099999999999966
1960-09-01,0.3300000000000409
1960-10-01,0.5
1960-11-01,0.18999999999999773
1960-12-01,0.6100000000000136
1961-01-01,0.45999999999997954
1961-02-01,0.7199999999999704
1961-03-01,0.9600000000000364
1961-04-01,0.4500000000000455
1961-05-01,0.5500000000000114
1961-06-01,0.18999999999999773
1961-07-01,0.37999999999999545
1961-08-01,0.8900000000000432
1961-09-01,0.8199999999999932
1961-10-01,1.4800000000000182
1961-11-01,1.1000000000000227
1961-12-01,0.8199999999999932
1962-01-01,1.0500000000000114
1962-02-01,0.8500000000000227
1962-03-01,1.1399999999999864
1962-04-01,1.089999999999975
1962-05-01,0.4399999999999977
1962-06-01,0.8500000000000227
1962-07-01,1.0500000000000114
1962-08-01,0.6099999999999568
1962-09-01,1.25
1962-10-01,0.11000000000001364
1962-11-01,0.589999999999975
1962-12-01,0.6899999999999977
1963-01-01,0.8000000000000114
1963-02-01,0.5199999999999818
1963-03-01,0.18000000000000682
1963-04-01,0.8100000000000023
1963-05-01,1.2200000000000273
1963-06-01,0.8700000000000045
1963-07-01,0.12999999999999545
1963-08-01,0.37000000000000455
1963-09-01,-0.03000000000002956
1963-10-01,0.5699999999999932
1963-11-01,0.37999999999999545
1963-12-01,0.6500000000000341
1964-01-01,0.8299999999999841
1964-02-01,0.9700000000000273
1964-03-01,0.8899999999999864
1964-04-01,0.45999999999997954
1964-05-01,0.009999999999990905
1964-06-01,0.39999999999997726
1964-07-01,0.6999999999999886
1964-08-01,0.9200000000000159
1964-09-01,0.5
1964-10-01,0.8799999999999955
1964-11-01,0.6100000000000136
1964-12-01,0.3599999999999568
1965-01-01,-0.12999999999999545
1965-02-01,0.39999999999997726
1965-03-01,0.13999999999998636
1965-04-01,0.30000000000001137
1965-05-01,-0.07999999999998408
1965-06-01,-0.01999999999998181
1965-07-01,0.7699999999999818
1965-08-01,0.18000000000000682
1965-09-01,1.1100000000000136
1965-10-01,0.4300000000000068
1965-11-01,1.1899999999999977
1965-12-01,0.7100000000000364
1966-01-01,1.1800000000000068
1966-02-01,1.160000000000025
1966-03-01,1.5
1966-04-01,1.5600000000000023
1966-05-01,1.9099999999999682
1966-06-01,1.8799999999999955
1966-07-01,1.160000000000025
1966-08-01,1.490000000000009
1966-09-01,0.8199999999999932
1966-10-01,0.8000000000000114
1966-11-01,0.9099999999999682
1966-12-01,1.599999999999966
1967-01-01,1.7099999999999795
1967-02-01,0.8999999999999773
1967-03-01,0.6399999999999864
1967-04-01,0.7100000000000364
1967-05-01,0.9200000000000159
1967-06-01,0.339999999999975
1967-07-01,0.17000000000001592
1967-08-01,0.5600000000000023
1967-09-01,0.6100000000000136
1967-10-01,1.2899999999999636
1967-11-01,0.9500000000000455
1967-12-01,0.9399999999999977
1968-01-01,0.2400000000000091
1968-02-01,0.6499999999999773
1968-03-01,0.8600000000000136
1968-04-01,0.6099999999999568
1968-05-01,0.5699999999999932
1968-06-01,1.2700000000000387
1968-07-01,1.599999999999966
1968-08-01,1.1899999999999977
1968-09-01,1.079999999999984
1968-10-01,0.8600000000000136
1968-11-01,0.589999999999975
1968-12-01,0.9300000000000068
1969-01-01,1.4300000000000068
1969-02-01,1.2600000000000477
1969-03-01,1.740000000000009
1969-04-01,1.6400000000000432
1969-05-01,1.8100000000000023
1969-06-01,1.349999999999966
1969-07-01,1.740000000000009
1969-08-01,1.5500000000000114
1969-09-01,2.0500000000000114
1969-10-01,1.5299999999999727
1969-11-01,1.5300000000000296
1969-12-01,1.2200000000000273
1970-01-01,1.0600000000000023
1970-02-01,1.579999999999984
1970-03-01,1.3000000000000114
1970-04-01,1.4699999999999704
1970-05-01,0.6999999999999886
1970-06-01,0.9600000000000364
1970-07-01,0.45999999999997954
1970-08-01,1.0199999999999818
1970-09-01,0.7200000000000273
1970-10-01,1.2800000000000296
1970-11-01,1.1599999999999682
1970-12-01,1.0199999999999818
1971-01-01,1.1100000000000136
1971-02-01,0.6999999999999886
1971-03-01,0.25
1971-04-01,-0.35000000000002274
1971-05-01,0.8500000000000227
1971-06-01,0.8999999999999773
1971-07-01,1.0200000000000387
1971-08-01,0.75
1971-09-01,0.2599999999999909
1971-10-01,0.5
1971-11-01,0.7900000000000205
1971-12-01,0.8799999999999955
1972-01-01,0.5999999999999659
1972-02-01,0.9399999999999977
1972-03-01,0.5699999999999932
1972-04-01,1.9400000000000546
1972-05-01,1.1399999999999864
1972-06-01,0.5199999999999818
1972-07-01,0.6800000000000068
1972-08-01,0.8899999999999864
1972-09-01,1.4799999999999613
1972-10-01,1.6399999999999864
1972-11-01,1.6999999999999886
1972-12-01,1.5400000000000205
1973-01-01,1.7800000000000296
1973-02-01,1.9399999999999977
1973-03-01,2.5500000000000114
1973-04-01,1.7799999999999727
1973-05-01,2.410000000000025
1973-06-01,2.980000000000018
1973-07-01,2.829999999999984
1973-08-01,2.990000000000009
1973-09-01,2.680000000000007
1973-10-01,1.990000000000009
1973-11-01,1.670000000000016
1973-12-01,1.099999999999966
1974-01-01,0.8100000000000023
